asn,count
16509,77203
63949,29895
13335,29218
0,14189
37963,12876
14618,11061
4134,9247
45090,8665
8075,7549
20940,7155
24940,6293
396982,4780
14061,3236
45102,3234
4837,3176
132203,2668
31898,2590
26658,2497
16276,2105
3462,1923
51167,1817
4808,1655
3320,1327
55990,1267
174,1234
4812,1205
20473,1155
8560,1146
7922,970
4766,889
9808,872
47447,864
6724,764
36352,764
34788,760
395954,735
197540,710
51468,632
6805,602
46606,573
136907,573
7018,557
18978,502
133180,502
45064,500
9318,495
197019,479
4538,473
15169,454
3209,442
20857,416
140107,412
12322,407
399674,407
12824,400
48635,398
47583,385
701,377
7552,363
138950,361
49505,333
12876,328
25820,325
40065,325
34762,320
56046,311
398101,308
200350,306
138915,301
8796,296
5089,291
38283,281
135097,279
3215,271
17621,271
40021,266
48854,257
328608,257
135377,256
57169,256
4847,254
23959,247
134548,241
29873,239
5650,234
213230,233
45012,231
55933,230
19871,228
9506,221
577,219
136800,217
8972,216
26496,213
1136,209
206509,208
58461,208
396105,206
2856,206
38186,206
63859,204
15967,203
35916,198
44477,196
3786,191
7539,189
32097,184
8151,180
8881,178
29802,178
209,177
22612,176
21499,175
3352,171
58519,171
206281,170
136188,164
3269,163
22773,162
58563,155
15817,151
680,149
7393,148
140224,147
26347,147
15685,146
4760,145
20115,144
43541,144
132420,143
60781,142
56040,142
56041,141
132839,140
9488,140
45899,136
12389,133
38365,132
8708,129
17816,129
138538,128
18403,128
54113,127
39790,127
29134,126
139646,124
20847,124
17858,124
57269,122
13030,118
42730,116
7545,116
41079,114
16591,114
50266,112
31400,110
12859,110
57367,106
205766,105
4788,105
9269,104
29222,103
6877,103
21887,103
53831,102
209242,102
24971,102
7506,101
25234,101
834,100
51400,99
56048,99
394996,95
10796,93
33915,93
135357,93
24806,93
979,92
1659,92
206067,91
4764,91
51013,89
20001,88
58931,88
3303,88
5427,87
212317,87
24560,87
141995,85
398090,85
5410,85
137699,85
64050,84
4609,84
23724,84
44486,84
852,83
20773,83
36351,83
7418,82
7303,82
137,80
6327,80
19318,79
1239,79
137566,79
13768,78
5483,78
10680,78
31477,77
812,77
398478,77
44074,76
2527,75
202053,75
9304,75
12479,75
32244,74
17716,74
135629,74
906,73
398823,73
140292,73
5503,73
208332,72
58593,72
134175,71
142032,71
48314,70
139659,70
25019,70
6830,69
29182,69
45363,69
40509,68
9534,68
15600,68
17552,67
29141,67
56300,67
2635,66
31229,66
134761,66
34240,66
137951,65
57043,65
54600,65
11427,64
2119,64
50867,63
4811,63
6799,63
24444,63
54641,62
42960,62
9829,61
131965,61
55293,61
48324,60
39392,60
54290,60
9394,60
35251,59
17184,58
25513,58
197902,58
3784,57
12586,57
50340,57
141739,57
134756,56
30600,56
33363,56
63473,56
15557,56
9145,55
43190,55
8315,55
16019,54
7497,54
17623,54
3301,54
63835,53
20676,53
53667,53
135354,52
197695,52
3292,52
42610,52
5607,52
20055,52
7684,51
13101,51
29522,50
34360,50
22611,50
36454,50
212531,50
31034,50
1680,50
6167,50
58466,50
5769,50
18420,49
22927,48
134768,48
6730,48
8473,48
1221,48
2519,47
8100,47
11351,47
61157,47
55430,47
6848,46
2852,46
27699,45
23470,45
24961,45
141679,45
37611,45
3356,45
4773,45
17676,44
34011,44
7713,44
142403,44
9123,44
559,44
53856,43
31791,43
11426,43
5617,43
8595,43
4785,42
21859,42
8422,42
719,42
30722,42
8402,42
9009,42
56971,42
8767,42
133481,42
7029,42
37153,41
36903,41
201106,41
11320,41
47302,41
15704,41
3,40
42422,40
58003,40
64267,40
25459,40
553,40
55960,39
45758,39
133774,39
8987,39
9371,39
137718,39
1241,39
14593,39
766,39
4780,39
15943,39
9381,39
22147,38
36884,38
12353,38
50673,38
135905,37
5378,37
206303,37
8875,37
198610,37
15773,37
8851,37
24445,37
62240,37
33070,37
134762,37
199669,37
29097,37
207651,36
5432,36
3223,36
1267,36
38700,36
138968,36
17713,36
8412,35
2514,35
134238,35
6939,35
10197,35
394695,35
21409,35
138152,34
9930,34
18229,34
81,33
46375,33
28573,33
14,33
1901,33
9370,33
2895,33
17638,33
9317,33
31027,33
58224,33
41528,33
4816,33
21069,32
25394,32
137443,32
208677,32
32475,31
1257,31
34222,31
12996,31
139220,31
7377,31
30823,31
198967,31
36925,31
949,31
40676,30
3335,30
967,30
2018,30
29695,30
6181,30
14265,30
35913,30
41314,29
12430,29
16462,29
136190,28
24309,28
43414,28
133199,28
38195,28
56047,28
12417,28
47544,28
13285,28
5408,28
51341,27
12874,27
29208,27
16086,27
39494,27
213250,27
18450,27
2860,27
12637,27
45638,27
63838,27
24158,27
39591,27
6057,27
18047,27
133073,27
8866,26
29405,26
2907,26
26599,26
6134,26
11878,26
207375,26
62336,26
61317,26
3243,26
12271,26
55020,26
12735,26
50522,26
35470,25
12714,25
59925,25
200062,25
29580,25
6128,25
2834,25
47172,25
9287,25
25560,25
87,25
31549,25
39704,25
13037,25
213192,25
1653,24
49999,24
34594,24
5645,24
36914,24
23700,24
24852,24
3058,24
8758,24
3329,24
138195,24
19108,24
4385,24
36236,23
1759,23
204601,23
20956,23
49544,23
4181,23
3170,23
49981,23
18177,23
139341,23
31200,23
17488,23
62000,23
33182,23
20845,23
8445,23
27017,22
39835,22
35807,22
1930,22
4771,22
58791,22
47331,22
206238,22
17506,22
2839,22
8447,22
57279,22
42366,22
49857,22
21554,22
34533,22
42160,22
12392,22
31798,22
203200,22
11492,21
12660,21
59253,21
6878,21
23650,21
26832,21
5384,21
208913,21
201942,21
11232,21
10052,21
1916,21
26577,21
9329,21
21155,21
203020,21
1312,21
15703,21
133775,20
59078,20
