cert.issuer.cn,count
nan,130918
localhost,29696
WE1,27636
R10,19767
R11,19609
E6,10704
E5,10565
azurequantum,4262
Sectigo RSA Domain Validation Secure Server CA,3993
Amazon RSA 2048 M03,3760
ZeroSSL RSA Domain Secure Site CA,3424
R3,3277
Amazon RSA 2048 M02,3220
GlobalSign RSA OV SSL CA 2018,2617
Encryption Everywhere DV TLS CA - G2,2597
Certyfikat SSL,2551
Thawte TLS RSA CA G1,2268
Amazon RSA 2048 M01,2220
Microsoft Azure RSA TLS Issuing CA 03,2206
Microsoft Azure RSA TLS Issuing CA 08,2179
Virginia Military Certificate Authority,2171
DigiCert TLS RSA SHA256 2020 CA1,2143
GeoTrust RSA CA 2018,2138
TrustID Server CA O1,2107
GlobalSign Atlas R3 DV TLS CA 2024 Q3,2106
Waf defaut certificate(Attack Behavior reported to the police),2091
Usonia us-east1 ICA,2089
TrustAsia RSA DV TLS CA G2,2074
ZeroSSL ECC Domain Secure Site CA,1134
GTS CA 1P5,752
CloudFlare Origin SSL Certificate Authority,642
GeoTrust RSA CN CA G3,515
TrustAsia DV TLS RSA CA 2025,463
Encryption Everywhere DV TLS CA - G1,441
Go Daddy Secure Certificate Authority - G2,389
WR3,365
Xcc Trust DV SSL CA,351
RapidSSL Global TLS RSA4096 SHA256 2022 CA1,334
TrustAsia RSA DV TLS CA G3,301
TrustAsia TLS RSA CA,274
*.deunamen.com,272
RapidSSL TLS RSA CA G1,270
E1,230
WR1,226
Starfield Secure Certificate Authority - G2,225
GlobalSign GCC R6 AlphaSSL CA 2023,219
InCommon RSA Server CA 2,208
tempnotebook.rescale.com,207
nazwaSSL DV TLS G2 R29 CA,173
Certum Domain Validation CA SHA2,161
sslTrus (RSA) DV CA,153
GeoTrust CN RSA CA G1,152
WoTrus DV Server CA  [Run by the Issuer],146
Let's Encrypt Authority X3,142
AlpiroSSL RSA DV CA,132
webslave.ispgateway.de,130
GeoTrust Global TLS RSA4096 SHA256 2022 CA1,122
GlobalSign Organization Validation CA - SHA256 - G3,113
"cPanel, Inc. Certification Authority",110
Sectigo ECC Domain Validation Secure Server CA,93
Plesk,92
cyber_Folks,87
DigiCert Global G2 TLS RSA SHA256 2020 CA1,86
MIDS,72
Sectigo RSA Organization Validation Secure Server CA,64
Actalis Domain Validation Server CA G3,63
GeoTrust TLS RSA CA G1,61
AnyConnect,60
Vigor Router,60
Amazon RSA 2048 M04,59
Kubernetes Ingress Controller Fake Certificate,57
WE2,55
Xcc Trust OV SSL CA,54
TP-Link,54
