cert.issuer.org,count
nan,139263
Let's Encrypt,64294
Google Trust Services,28299
DigiCert Inc,10729
Amazon,9299
GlobalSign nv-sa,5163
ZeroSSL,4558
Microsoft Corporation,4393
Sectigo Limited,4171
"TrustAsia Technologies, Inc.",3152
home.pl S.A.,2551
IdenTrust,2108
Waf,2091
Google Inc,2089
Google Trust Services LLC,762
"CloudFlare, Inc.",675
"DigiCert, Inc.",525
"Beijing Xinchacha Credit Management Co., Ltd.",405
"GoDaddy.com, Inc.",389
Internet Widgits Pty Ltd,281
"Starfield Technologies, Inc.",225
Internet2,212
Rescale,207
nazwa.pl Sp. z o.o.,175
WoTrus CA Limited,170
sslTrus,168
Unizeto Technologies S.A.,167
Alpiro s.r.o.,132
ispgateway,131
BPTFRQAP,129
SNQWLMDM,122
AXIS Communications AB,121
Fortinet,114
"cPanel, Inc.",110
ACLSXJAF,109
ERNNGRTR,107
EZNLZYMF,103
ZKDNYAAD,102
XJJEVLOE,101
XBFSGRYU,100
ZVYKBPMX,100
FMOCXCAJ,100
EDVWOGAM,100
HGXPCIIJ,98
ZOBPVZPL,98
IHJGTEES,98
ZQPENMFK,98
ECDGAJWI,97
QGFYGKPS,97
KBLKFUMZ,96
QJWVYHOH,96
PMGXDNVP,95
TJFXARQF,95
CVETQNSM,95
HJEXYMGB,95
WAPHNAZO,95
CJTCCLUA,94
TFIPMSKP,94
GQLBOSOZ,94
VGVJVDUH,94
TSEEQVLX,94
YGEZBGYT,94
DTZZWLZF,93
VGUBTDXK,93
ZDLNMSNO,93
JQSODMCS,93
ZHOLSEZT,92
TKCBYBIL,92
KSUNZJZL,92
TWUJWCPX,92
CPUTDZMP,92
KUMOYDHC,92
PHOLREIL,91
WTZMYTAE,91
WGYZUCQQ,91
ZGZLMMPF,91
OLLPQLHO,91
BLQXXYMW,91
MWTZZJDU,91
CWHXVKNT,90
DRBDAEFX,90
OXYBDPLG,90
ECWSMXDT,90
Plesk,90
UUYMERDO,89
KDLHCYNC,89
KUUORRAB,89
LHUCLIUU,89
XHBKZUWG,88
HMARSQIY,88
FJOEHKWJ,88
ZBGOIPFD,87
LZXOIJJR,87
EQKLLOLR,87
WFMVOAOK,87
JNNMVDNR,87
GEYAPSQU,87
cyber_Folks S.A.,87
RGWPYBWQ,87
ZXUGQMAV,86
QBUHCQXQ,86
JTETFBTR,86
YELLBJQK,86
LEUIHVUD,85
EFRKJNAU,85
UMYZFWCY,85
BOGXIRKH,85
QCYYBDLX,85
OOVTHEBF,84
TGEOJGXS,84
KGHNUONX,84
NOZDYEEP,83
LGVBFEBQ,83
XJZEGZBJ,83
UXQXOPOF,83
YYHYQHLU,82
JMRGXXGH,82
WLOMOCNG,82
PVKTNIWU,82
GPESWESJ,82
LKJULXBJ,81
FCKXAWDH,81
MMYJMTUF,81
HDWNERHX,81
ZHFXUWYL,81
CBPNZVXZ,81
VQDIFVIR,80
ZQCFSMSD,80
PTGEFAVN,80
HTXYWDJT,80
RMSEXDMV,79
ERDKJKWA,79
VWTHDBLO,78
UXSMDJFD,78
PTUSUYEQ,78
EQXOUGWQ,77
ZCTZFKUH,77
XBIMJZGK,77
STFGHWWT,76
DTCZFWXN,76
TMFMLGJQ,76
BTVLOJEF,76
LKEFMQDF,75
RUJXSUIA,75
ZMJTHDBZ,75
OXNYMKDW,75
FOAIBTLO,74
NTKCWGTB,74
OBRUXEEF,74
LRHUEROO,74
MVNKGUQB,73
TXPFAMUJ,73
PMJERMBU,72
"University of California, Berkeley",72
DFMGEXQW,72
XCNPTXEO,72
GUXDLSWE,71
YVXROHKC,71
UHMFZDVX,71
ELHWORAL,70
XFKWRFHX,69
PENEGFFO,69
BZKIQNHU,69
CTIQBJMT,68
VNKKVKGP,68
FSOPDPER,68
NKDLURYP,67
INVTTJHP,67
