cert.ja3s,count
nan,261397
15af977ce25de452b96affa2addb1036,50256
475c9302dc42b2751db9edcac3b74891,4666
a09afc3976012cbaa51207b24c73d9d6,586
f4febc55ea12b31ae17cfb7e614afda8,484
d14f938aacc7f2e8e0b35bb50997369f,334
d75f9129bb5d05492a65ff78e081bcb2,316
633f1adf7e9f9a1b801f93f64e15ce10,307
362f25709c60384d8b297353ff88dd1f,189
17e97216fa7f4ec8c43090c6eed97c25,100
79e81053e74914faa0f8f1432cd22044,98
e35df3e00ca4ef31d42b34bebaa2f86e,95
248f6cc8599ce96288797b36db96a0ac,95
b0b08b3091a73452594d6f9cf07e6710,75
a39e18564e32e1822751c4af0bfba817,67
b898351eb5e266aefd3723d466935494,65
8d2a028aa94425f76ced7826b1f39039,61
aa2b3276e199fdeb9b319316fca1500f,59
375d4a87c1cf784f310ee5e378eea734,54
4c35fb5aed6b82098f41f2799cf9e03e,48
7a25236c21290068016bb30e245b5477,45
2d1eb5817ece335c24904f516ad5da12,41
ef6b224ce027c8e21e5a25d8a58255a3,41
d5c7ed82fdae18416e185e6a50788ab1,39
7b1b65ac845a22c2950cdcff1978886b,37
2b33c1374db4ddf06942f92373c0b54b,32
28ba2f53bc7b45795bc0db7eb6d12c37,31
8f369d7e0762ae5dfcfffa487fdb1152,27
aa1189d5c2203f5f66d0260f8c01f827,23
e8e07fbff395e7b477089cccf6d4dae6,23
d334341c385f2acc0575a0f17573c628,23
d35615ca2c1e51f01ddf513bf9cc0436,23
d183a79e9fe6b5a9fc022f4fc032a03e,22
907bf3ecef1c987c889946b737b43de8,21
1c9537b8108487575f2043b84071412d,21
c4b2785a87896e19d37eee932070cb22,20
7dd7930b505663a54fa78107f7ec34da,19
4d1da4cd3d33f04ec47747b094f15b99,16
ccc514751b175866924439bdbb5bba34,16
3e4ff49bfed41bbd97fd6713c9e87c73,13
ea08f4ef3ebdc44a088a467cd51f3e9d,12
1f5a67caff68e3d312696e32f7396c70,12
24be7233da26823f60ca7dcfca556518,9
926c0f6f84b57cd7713ccce34156bbc9,9
fb6a0282db1163b25306d90f2808da21,8
303951d4c50efb2e991652225a6f02b1,8
649d6810e8392f63dc311eecb6b7098b,7
9049b62290e2686796f525c8d816d5b1,7
e7307be1c00a49a39db4471df21c323a,7
e5e643996c5831d1bbf29b3464a57b2a,6
71ee3a573bf785a761532b30b70d741b,6
a18cc285c125cd939fb69c2ac1460641,6
eb7ce657b6814e1bc6402d66a2309dc6,5
5bf3945147163753a854e165090c4120,5
bb54f795c640f27be3c7180cc19711fc,5
76c691f46143bf86e2d1bb73c6187767,5
b9bb92c04766c7e91058fb1cff8c675d,4
016a16ffb055110162f63eb43381628b,4
03788d8896c247631764a250db971b74,4
987b4ed0c699accc49c7eb0c4e57b86b,4
e4846aebd9872f4dc5aa36f2526762ff,3
1f88deb6bbac28865f2a77c1fe286e9e,3
28bfdd78596ccb157bd55934304cad88,3
6b96cf9c27b0223177b0e9f135fe4899,3
f5ffc47ebb9adbb2c367372be6161886,3
f606e6829ddfa2c0479f59110fca0a33,3
7768e31445fa6e6aa7472dd09234bdb1,3
faa88e75a7471aaa07850841e28f87f1,3
758945630046fd37070521b8544d1fe8,3
3f4d2bcb5afbce6695c159a0d1a01cec,2
565f3e37fe17d32eb046dd53514ab7cd,2
ec74a5c51106f0419184d0dd08fb05bc,2
ea4ac9a2c0ba2e422112132cdbb985ea,2
5958593816486be2ad469e9194800177,2
533df5e545e88ae17014b537a044e9aa,2
c67e8b533a9001ce4e36883b8d3489c4,2
dad36ee4b72e7a4b5a7069c37aab9f88,2
1089ea6f0461a29006cc96dfe7a11d80,2
1398dda6bd6ce3a089c5597e77d3aed4,2
9d9ce860f1b1cbef07b019450cb368d8,2
7d9824476c0dc081385112c9c462783f,2
4e6c0fa8446ddac063e82628f2c0b635,1
6631f217b5aaab85050663f2727ac1ca,1
0635925ed31427186192a88be450c742,1
19d1d6402099f0edd493a7cb901aa73a,1
a8d2a5625ef8f3aada2fb53dad3f2921,1
b9bd7f629159de9b24f44d1bad01fda7,1
948964c2860ebba6f44661b63bca23d3,1
b74704234e6128f33bff9865696e31b3,1
1da33bba47217b73be2777e403c998e5,1
4192c0a946c5bd9b544b4656d9f624a4,1
5677fd9197d91e09fd9b670a4699b803,1
a27e76e64afe9199440ad714848966f8,1
d842b4ede27dc174974f4d87366048a0,1
9dd9697e41bf4842b13869ec64041126,1
759968158b0e1df906786a4b8c44bf39,1
e5e5ca0dba00691f344e4bf299aff19f,1
8369f6252defdc640e2d03ceacd1bd23,1
3bd4bfa7f1013f690b306781a9f97602,1
28b453648b1806e193845d946ea0c6d5,1
aeba2e188ef4e1416b8031aa11cec40d,1
731607db743c50b2867d049a5d334ed4,1
a09184e2d51d185cbf3c901b82230c5a,1
678f48bbe1a3dc671b2ac27741496690,1
1fba7a5efe4a9137fad6e3cce0fbb26f,1
b6f170060a270160d17dabed8e962977,1
f465b0d9c9be75bdc8973ffd837d78a5,1
2765ef4485ce5a69b119aca87bb94fa2,1
389ed42c02ebecc32e73aa31def07e14,1
eb1d94daa7e0344597e756a1fb6e7054,1
0aa1d8041f9dfbdb3dc9ef25ba2c413c,1
b81435402bb12847f6a7e090b9d9a708,1
035d10d84e97869643ac7c2e33e66118,1
583050c550c907b9ff6f896da0bbcbd9,1
