country,count
US,111728
CN,56593
DE,29557
JP,12636
SG,12575
GB,12267
KR,8680
AU,8280
FR,7669
IN,6760
CA,6612
IE,6029
NL,4858
BR,4372
ZA,3899
SE,3718
RU,3051
CZ,2025
PL,1960
IT,1499
FI,1430
ES,1365
DK,1112
BE,1001
IL,894
CH,872
VN,847
ID,691
AT,555
TH,461
UA,426
NO,332
MY,309
IR,282
RO,254
PK,248
MX,243
TR,232
GR,221
BG,219
-,203
HU,199
AE,184
AR,183
CL,165
SK,160
SA,158
LT,149
HR,131
nan,127
PT,123
MA,119
NZ,113
KZ,85
SI,78
PH,70
BD,66
RS,60
KH,56
CO,54
OM,51
EE,48
LV,48
LU,41
BY,40
IQ,38
KE,36
UY,27
IS,27
BA,26
UZ,26
EG,26
LK,26
BH,24
DZ,22
MD,21
PE,18
NG,16
DO,16
CY,14
DM,14
PY,13
NP,13
EC,12
GE,12
TN,12
MU,10
MK,9
AM,8
AD,8
PR,8
SC,8
QA,8
VE,7
BW,7
UG,7
RE,7
KW,7
MN,6
GP,5
PA,5
BO,4
KG,4
LB,4
LA,3
MT,3
AO,3
JO,3
GT,3
GI,3
AZ,3
LI,2
CI,2
AL,2
YE,2
BT,2
TT,2
CR,2
MM,2
ME,2
ET,2
MC,2
MV,2
TM,2
BN,1
KN,1
ZW,1
GM,1
MZ,1
ML,1
CU,1
JM,1
SY,1
SR,1
ZM,1
GG,1
CW,1
CM,1
SS,1
AX,1
BJ,1
TZ,1
AF,1
HN,1
JE,1
