jarm,count
nan,142521
2ad2ad00000000022c42d42d0000008aa043a2ae70f1a4f70c9b5036ea9f77,46139
3fd3fd20d00000000043d3fd3fd43d9d4f83ac87494648a3bed4ab670795cd,28635
27d40d40d00040d1dc42d43d00041d6183ff1bfae51ebd88d70384363d525c,16052
3fd3fd0003fd3fd21c42d42d000000bdfc58c9a46434368cf60aa440385763,6370
2ad2ad0002ad2ad22c2ad2ad2ad2ad703dc1bf20eb9604decefea997eabff7,3541
27d40d40d00040d00042d43d000000d2e61cae37a985f75ecafb81b33ca523,3406
27d40d40d00040d00042d43d00041df04c41293ba84f6efe3a613b22f983e6,3048
3fd3fd00000000000043d3fd3fd43d79451d8c63b099acafdbabb24551d0e6,2339
3fd3fd16d00000000043d3fd3fd43d684d61a135bd962c8dd9c541ddbaefa8,2054
2ad2ad0002ad2ad00042d42d000000301510f56407964db9434a9bb0d4ee4a,2051
27d40d40d00040d00042d43d000000e1ea2a807a629b496b664cf07ad7c08d,2015
40d40d40d00000000043d40d40d43d684d61a135bd962c8dd9c541ddbaefa8,1881
15d3fd16d29d29d00042d43d000000fe02290512647416dcf0a400ccbc0b6b,1846
2ad2ad0002ad2ad00042d42d00000000f78d2dc0ce6e5bbc5b8149a4872356,1258
28d28d28d00028d00042d42d000000831b6af40378e2dd35eeac4e9311926e,1071
3fd3fd0003fd3fd21c42d42d000000307ee0eb468e9fdb5cfcd698a80a67ef,1048
27d40d40d00040d00042d43d0000007d20e9b9a3e87aa1ec17cb4d646ce9a5,980
1dd40d40d00040d00042d43d000000831b6af40378e2dd35eeac4e9311926e,927
29d29d00029d29d00042d43d00041d598ac0c1012db967bb1ad0ff2491b3ae,900
27d40d40d00040d00042d43d0000004ac24e77d76646867f0f6a0c6d9b9bb0,857
29d29d00029d29d00042d42d00000023f2ae7180b8a0816654f2296c007d93,835
15d3fd16d29d29d00042d43d000000ea552d307cdd65a9a94fec1293390a04,794
29d29d00029d29d00041d41d00041dcb3f8752a2d70d1dbf446fc46ab5df96,763
29d29d00029d29d21c29d29d29d29d3ffaa8e1bc320d2170056165032c5661,760
27d40d40d00040d00042d43d000000831b6af40378e2dd35eeac4e9311926e,729
2ad2ad0002ad2ad00042d42d0000002059a3b916699461c5923779b77cf06b,692
27d40d40d00040d00042d43d0000005a3e96c1dfa4bdb24b8b3c04cae18cc3,641
21d19d00021d21d00042d43d0000005ad20eceaf7f71ae0887d2ff117bf97f,636
28d28d28d00028d00042d42d000000e1ea2a807a629b496b664cf07ad7c08d,582
29d29d00029d29d21c29d29d29d29dab965d4179316d1f3a3c5dbe7d8829db,573
27d40d40d00040d00042d43d000000b5ce48eb9aaa95d750e8df42b900e12b,563
2ad2ad0002ad2ad00042d42d00000045d9c61f898d3d72d7a153fdd2347f3c,523
2ad2ad0002ad2ad00042d42d0000005d86ccb1a0567e012264097a0315d7a7,520
29d29d15d29d29d00042d42d000000df133019600a83abfb096ff3e86cd79d,505
15d3fd16d29d29d00042d43d0000001ae0802418786940cae38f1d9eed5b9b,485
15d3fd16d21d21d00042d43d000000fe02290512647416dcf0a400ccbc0b6b,473
2ad2ad0002ad2ad22c42d42d000000faabb8fd156aa8b4d8a37853e1063261,470
2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,450
29d29d00029d29d00029d29d29d29d25bd3c0a400350d7c8e90fd1e04db8ce,435
15d3fd16d29d29d00042d43d000000fbc10435df141b3459e26f69e76d5947,428
29d29d20d29d29d21c29d29d29d29d71eca4d2b736881571e98123f01ed268,425
33d3fd16d29d29d00042d43d000000dbc8859ec5c93c3d80eba6c8e9820a03,425
29d29d15d29d29d00042d42d0000008fe5654c9239cdb4052d3ab65a579afa,422
27d40d40d00040d00042d43d0000003d25bc6207ca8acd9652e99aa3724a08,415
28d28d28d00028d00042d43d000000e1ea2a807a629b496b664cf07ad7c08d,414
2ad2ad0002ad2ad00042d42d0000004730e1a02fb93a679b09eac9e25c22fc,406
15d3fd16d29d29d00042d43d0000007cad75e0049912dcaa3fad94e678d707,405
2ad2ad20d2ad2ad22c2ad2ad2ad2ad15a110e3e079cba2b9e84d88fe6e1939,399
29d3dd00029d29d21c42d43d00041d44609a5a9a88e797f466e878a82e8365,398
29d29d00029d29d00041d41d00041db78309d03c04b7072bacbf1ce396279b,386
40d40d40d00000000043d40d40d43da936ab0256fab25eca082941d14e3ece,385
29d3fd00029d29d21c42d43d00041df48f145f65c66577d0b01ecea881c1ba,358
15d3fd16d29d29d00042d43d000000ed1cf37c9a169b41886e27ba8fad60b0,347
27d40d40d00040d00042d43d000000aa5feb68b57d31b6dc713b6917a988e3,344
29d29d00029d29d00042d42d0000002059a3b916699461c5923779b77cf06b,342
15d3fd16d29d29d00042d43d000000ad5982e0c23bdf2bdf34e47480ccc0a3,338
15d3fd16d29d29d00042d43d000000f6a76359d2423084924eaeb5187f1701,333
29d29d00029d29d00042d42d000000d0979a504319f0fa83c2f00f881b6a1d,331
29d29d00029d29d00042d43d00041d5de67cc9954cc85372523050f20b5007,323
07d19d1ad21d21d00042d43d00000076e5b3c488a88e5790970b78ffb8afc2,319
29d29d15d29d29d21c42d42d000000f32b46bb363c1d114f3d1b5a3cfbaa76,317
29d29d00029d29d00042d42d0000005d86ccb1a0567e012264097a0315d7a7,314
27d3ed3ed0003ed1dc42d43d00041d6183ff1bfae51ebd88d70384363d525c,313
29d29d00029d29d21c29d29d29d29dcb923bdf24d76ffa93e37532e1a9239b,306
2ad2ad0002ad2ad22c42d42d0000008a5941c13f67e0c0a2c8a36bfeef6920,300
15d3fd16d29d29d00042d43d00000071784fa9f8305ba9220d0a7894b6ff2c,282
2ad2ad16d2ad2ad0002ad2ad2ad2adbfb4c26e4a72aca380107db225a1ef64,278
21d19d00021d21d00042d43d00000091f9827a8676a9d9f27d421962a09b5d,272
2ad2ad0002ad2ad22c2ad2ad2ad2ad4d38a7b5ffb0e5536d09513d9de81205,267
40d40d40d00040d1dc42d42d00000050e943b5b7e58fd544eaa893d2301948,264
28d28d28d00028d00042d42d000000d6376f1d8fe64877806a85a008c1c790,264
29d29d15d29d29d00042d42d000000cd600c085f371f8533aaf66051f8e5b1,261
00000000000000000042d42d0000009535d5979f591ae8e547c5e5743e5b64,253
