latitude,count
37.7757,29003
39.039474,15517
39.907501,14494
50.110882,13621
1.289987,12571
51.50853,9879
30.29365,8407
35.689499,8232
-33.867779,7716
22.285521,6858
45.52346,6226
53.344151,6015
19.075975,5641
37.566311,5244
48.859077,5091
33.748795,4983
40.821827,4784
32.948284,4641
31.224333,4142
34.694218,4030
-23.547121,3988
39.96138,3969
45.508839,3891
48.32386,3861
-33.925552,3639
59.332748,3448
37.33939,3223
23.127361,3181
22.545673,3082
34.0154,2695
47.604309,2551
25.038172,2304
52.524525,2298
52.378502,2172
37.774929,2150
34.05257,1829
34.192921,1774
37.279179,1735
55.752258,1309
37.405991,1294
50.69371,1286
60.169521,1286
30.66667,1189
45.839859,1157
50.087936,1109
41.26194,1016
45.464336,999
51.514938,963
38.901566,935
32.061668,859
34.052986,859
37.420624,829
49.004719,817
37.354111,814
40.416817,809
32.080898,800
51.9687,788
48.137428,785
38.37006,781
50.604919,760
40.804077,741
51.221535,719
55.675941,712
50.850849,691
43.623768,648
40.034107,640
40.657379,628
36.667641,599
38.713848,593
50.477852,591
47.234463,590
29.56278,586
43.65366,577
59.89444,569
30.58333,566
51.48,548
39.099731,547
52.229771,493
34.757778,492
53.480949,478
40.213909,451
51.441029,443
33.448231,442
29.87841,423
31.311365,411
33.336079,407
48.583714,406
53.42894,404
36.668331,403
32.888702,386
47.627499,386
40.713192,370
40.858585,365
47.366825,359
49.05225,349
49.447781,348
34.09914,343
0.0,326
30.752199,305
36.09861,300
53.575253,296
34.04324,293
39.142181,291
51.75,289
37.333698,288
46.624722,287
-6.208678,281
41.600449,276
37.229656,274
37.547424,273
49.232426,271
30.191099,267
56.039909,264
25.12821,263
21.02441,257
45.594784,256
47.474045,254
13.749976,252
28.200001,252
37.869438,248
40.719936,247
50.083599,243
37.548271,238
41.875771,231
25.725082,231
12.97623,227
10.75,226
10.368432,225
43.600574,223
-6.234922,216
18.519663,215
31.569349,211
25.774269,211
24.860001,209
37.53244,208
37.874722,202
50.933346,200
39.147839,197
24.47979,194
28.683331,193
61.361389,191
29.42412,191
53.219173,185
35.694241,184
23.02677,181
38.956692,174
22.276541,174
30.011021,173
33.727291,171
25.258471,170
31.863815,170
38.89539,169
37.266792,167
38.041599,165
52.406914,165
28.579891,164
23.04878,160
30.332134,156
52.51244,156
26.06139,154
52.255001,154
22.816669,153
25.038891,152
52.382511,152
32.265343,148
48.148209,145
33.930222,145
42.69751,145
32.566669,143
52.218185,140
-26.20225,140
50.828381,137
50.454659,135
50.605453,133
36.05669,132
41.792221,132
36.174969,131
17.37529,130
51.051373,129
32.783058,126
-37.814007,123
24.913891,121
33.818501,120
33.583057,118
39.96244,118
41.01384,117
47.682899,116
35.994701,116
42.8825,115
-33.426498,115
48.782536,114
25.85,113
54.689186,113
36.837925,109
36.853149,107
59.91275,107
22.200497,107
36.321327,107
47.620621,106
38.468239,105
40.733398,105
3.141301,104
37.97945,104
39.22031,103
39.509766,103
47.498253,103
31.783331,103
40.734699,102
40.233807,100
52.695984,99
40.554516,99
25.014353,98
38.9776,98
46.180931,97
24.687729,97
34.258331,96
52.370834,96
34.060734,95
28.666668,94
20.04583,93
40.651909,93
49.195271,90
-27.467541,90
29.562281,90
42.73328,89
35.063061,88
48.208889,86
32.209366,85
37.323002,85
27.99942,83
50.893551,83
3.084974,82
41.069592,81
44.432301,81
48.916981,81
55.041737,79
51.922501,79
13.3622,79
40.540092,79
-36.866669,79
51.671089,77
51.586559,76
33.933334,76
52.259247,76
28.666775,75
52.158356,74
50.796459,72
52.033329,72
40.73967,72
51.050076,71
51.481659,71
53.20153,70
52.339642,70
37.12907,69
27.83333,68
55.424179,67
52.370319,65
24.993862,65
37.640278,65
38.716751,62
32.397221,62
52.007481,61
52.076649,61
40.732277,61
19.428471,61
44.979969,61
39.952339,61
54.352051,61
47.132401,61
43.461441,60
24.80361,60
51.339619,60
49.466331,60
34.732788,59
53.112526,59
44.787823,59
60.674911,59
41.865601,58
36.032398,58
50.518436,57
38.631317,57
22.58333,57
45.518246,57
40.76078,56
51.98,56
28.00736,56
33.788406,56
31.695681,55
-25.744909,54
50.383598,54
34.600025,54
