longitude,count
-122.395203,29003
-77.491806,15517
116.397102,14469
8.681996,13621
103.850281,12571
-0.12574,9879
120.161583,8407
139.692322,8232
151.207047,7716
114.157692,6858
-122.676468,6226
-6.267249,6015
72.87738,5641
126.977203,5244
2.293486,5091
-84.387543,4983
-74.44902,4784
-96.729813,4641
121.468948,4137
135.502228,4030
-46.637184,3988
-82.997749,3969
-73.587807,3891
11.601019,3861
18.422857,3639
18.06484,3448
-121.894958,3223
113.264572,3181
114.068108,3082
-117.858223,2695
-122.329842,2551
121.563599,2304
13.410037,2298
4.89998,2172
-122.419418,2150
-118.243904,1829
-118.822617,1774
127.442421,1735
37.615471,1309
-122.078514,1294
24.93545,1286
3.174439,1286
104.066269,1189
-119.700577,1157
14.420798,1109
-95.860832,1016
9.188547,999
7.466,963
-77.050781,935
118.777992,859
-118.263687,859
127.126717,829
8.38583,817
-121.95549,814
-3.684733,809
34.781227,800
8.75336,788
11.57549,785
-105.119759,781
11.03577,760
-74.012367,741
6.77617,719
12.56553,712
4.34878,691
-79.559723,648
-105.30545,640
-111.882721,628
-78.387497,599
-78.159439,595
12.371563,591
-119.852577,590
106.553101,586
-79.382927,577
30.2642,569
114.266853,566
-3.18,548
-94.578568,547
21.01178,493
113.648613,492
-2.23743,478
-111.634071,451
5.478038,443
-112.074051,442
121.549767,423
120.617691,411
-111.922157,407
7.742745,406
14.55302,404
116.997223,403
-122.346199,386
-80.007584,386
-74.006065,372
-74.163605,365
8.54979,359
14.43427,349
11.06833,348
-117.581284,343
0.0,326
120.75,305
120.371941,300
10.014778,296
-118.250916,293
117.176102,291
-121.889297,288
14.30528,287
106.84549,281
-93.609116,276
-121.786545,274
-122.330589,273
19.466669,272
-123.023262,271
-81.493103,267
9.9272,264
121.741829,263
105.841461,257
-121.178688,256
-122.260963,254
100.516815,252
112.966667,252
112.561508,248
-74.005013,247
19.916634,243
-121.988571,238
106.666672,231
-87.620605,231
119.379356,231
77.603287,227
107.082932,225
-79.641083,223
106.989609,216
73.854507,215
-80.193604,211
120.288788,211
67.010002,209
-122.248833,208
127.734169,202
6.94972,200
-94.568878,197
118.081871,194
115.883331,193
-98.493729,191
63.584171,191
6.567002,185
51.42131,184
113.131477,181
113.56778,174
-77.342102,174
120.57383,173
-84.425377,171
55.304722,170
117.28083,170
-77.039474,169
127.016335,167
16.93,165
114.478081,165
77.329865,164
113.745003,160
6.094466,156
-81.65567,156
119.306107,154
6.16389,154
108.316673,153
8.621729,152
102.71833,152
-97.714119,148
23.32415,145
-117.88842,145
17.106958,145
110.783333,143
6.89578,140
28.04355,140
-0.13947,137
30.5238,135
8.702264,133
123.432877,132
103.792221,132
-115.137222,131
78.474388,130
13.738321,129
-96.806503,123
144.963165,123
118.585831,121
-84.361015,120
-75.199928,118
130.399979,118
28.949659,117
-78.896202,116
-122.120903,116
-78.878799,115
-70.566521,115
9.176995,114
114.933327,113
25.279985,113
-76.093918,109
10.74609,107
113.545967,107
127.420013,107
-75.978043,107
-122.310959,106
106.272598,105
-74.1735,105
101.686623,104
23.716246,104
-86.458237,103
19.03978,103
116.693001,103
119.966667,103
-74.005898,102
-111.658585,100
6.194719,99
-74.460167,99
121.467468,98
-77.386002,98
6.138709,97
46.721767,97
9.733559,96
108.928612,96
-118.239738,95
121.349998,94
109.822922,93
110.341667,93
103.763863,90
153.028091,90
16.608206,90
-84.637764,89
118.342781,88
16.37208,86
119.434372,85
-122.032181,85
120.666817,83
7.75028,83
101.532799,82
26.10607,81
122.598511,81
14.13265,81
82.934502,79
-74.466194,79
100.983452,79
174.766663,79
4.478915,79
-1.28278,77
118.283333,76
4.759916,76
4.7761,76
77.216682,75
4.493057,74
19.12409,72
-74.000763,72
7.215974,71
3.716723,71
5.65833,70
5.808559,70
4.96256,70
-84.08342,69
113.150002,68
-82.51545,67
37.554722,67
121.296875,65
5.214081,65
-87.644165,65
12.37129,65
119.4356,62
-9.133368,62
8.546015,61
4.298633,61
18.64637,61
7.24411,61
-99.127609,61
-74.173576,61
-93.263908,61
-75.163788,61
120.96843,60
7.16814,60
11.87696,60
6.098739,59
135.399933,59
-106.966736,59
17.141365,59
-87.645103,58
129.365067,58
113.083328,57
-122.671989,57
-90.192154,57
8.107754,57
-84.443268,56
-111.891052,56
5.91111,56
118.498253,55
28.187923,54
119.166847,54
8.0503,54
8.808233,53
-58.381554,53
9.980291,53
60.612499,53
8.479518,53
-80.189827,52
104.296387,52
111.466667,52
-3.19648,52
112.144836,51
115.49028,51
3.613442,51
-82.546867,51
90.407112,51
7.6,50
-74.06208,49
58.59333,49
114.467781,49
-0.377568,48
-122.413673,48
17.87842,48
104.753128,48
-117.144547,48
37.560879,48
-90.237549,48
-79.995888,47
-83.735924,47
-82.458832,47
33.692059,47
7.574011,47
20.465824,46
-3.616412,46
4.636802,46
80.278481,46
8.749907,46
113.382317,45
120.0933,45
-79.600632,44
116.637665,44
2.15879,44
126.866478,44
-101.890411,43
-71.104523,43
24.753531,42
-104.983597,42
-118.41658,42
-123.116714,42
-1.89983,41
115.861397,41
5.38748,41
-71.201134,40
104.38179,40
113.091942,40
-122.30159,40
118.525002,40
5.717999,40
7.095081,39
-74.055557,39
-71.105743,39
6.083599,39
120.874779,39
-47.061001,39
121.400002,38
126.650002,38
6.72781,38
12.095592,38
14.505114,38
-98.399246,38
11.16247,38
126.731873,38
-80.444389,38
4.0332,37
-117.820732,37
-65.411697,37
-81.673981,37
104.916061,37
-97.743134,37
44.400879,37
18.913767,37
8.045,36
126.915298,36
-1.56553,36
120.288658,36
4.748631,36
5.38107,36
6.130018,36
7.447452,35
6.46667,35
14.28605,35
113.867203,35
120.125282,35
24.652159,35
10.687058,35
4.328658,35
11.032561,35
-122.23484,35
13.847821,35
-81.379242,35
10.900789,35
87.319916,35
-95.362061,35
-93.618919,34
-79.668846,34
-73.950645,34
10.224733,34
116.107239,34
128.591202,34
-104.950523,33
10.134532,33
103.375603,33
-117.231796,33
0.60682,33
8.717336,33
113.233063,33
8.212274,33
-1.4659,33
-43.172962,33
138.598633,33
24.10589,32
5.475,32
14.47506,32
-117.660103,32
-77.104279,32
12.88566,32
-73.96756,32
119.910767,32
-73.612358,32
-121.958199,31
-96.682106,31
8.649697,31
116.714706,31
-106.320877,31
30.732597,31
117.655571,31
-114.075951,31
2.235247,31
12.0,31
4.40346,30
106.716667,30
-76.61219,30
22.566675,30
-87.6259,30
139.691696,30
117.166664,30
27.566729,30
118.015182,30
16.284182,29
-0.53792,29
120.982201,29
-121.540916,29
111.283882,29
-2.44926,29
119.019173,29
-77.92598,29
13.057829,29
-123.368149,29
-1.08708,29
11.60122,29
29.060982,28
-95.93779,28
-88.004753,28
-4.420112,28
12.14049,28
-75.69651,28
-74.081749,28
17.645178,28
-71.214539,28
5.39028,28
36.816669,28
-4.25763,27
15.978012,27
114.879349,27
-88.153046,27
125.322777,27
-84.390144,27
-79.770088,27
-83.740784,27
4.687755,27
3.57361,27
110.360832,27
13.376817,27
6.981598,26
116.694717,26
-2.46313,26
-80.843132,26
11.487018,26
117.554169,26
115.441109,26
76.949989,26
117.662498,26
119.588226,26
5.1221,26
17.902571,26
4.473398,26
120.684006,26
84.966637,26
112.453911,26
112.0373,25
-0.08607,25
10.87539,25
-75.228661,25
105.440491,25
-2.2431,25
18.281956,25
26.133825,25
99.333107,25
34.885029,25
116.397232,25
12.484253,25
-111.987442,25
-76.884628,24
-96.698936,24
-77.448059,24
67.082352,24
111.966667,24
-7.619099,24
4.846578,24
2.206622,24
75.816742,24
-77.174522,24
-76.285217,24
-117.761856,24
16.531441,24
13.339974,24
6.14588,24
108.220978,24
-122.160225,24
151.200333,24
-79.659508,24
50.150776,24
-58.76815,24
17.033762,24
-77.614723,24
-80.516335,24
11.72273,23
23.787121,23
-1.553394,23
139.638275,23
22.943905,23
8.27652,23
23.8999,23
-75.202271,23
25.605682,23
115.98333,23
-122.735413,23
9.55236,23
39.873623,23
149.128067,22
8.378868,22
112.750732,22
118.297783,22
10.38831,22
69.21627,22
109.389046,22
111.650665,22
-96.788727,22
-2.99835,22
-71.060074,22
39.21917,22
-79.891724,22
-121.176064,22
12.35174,22
10.85329,22
-21.895985,22
11.966732,21
-84.170197,21
-58.666607,21
-73.990089,21
-77.152901,21
100.335426,21
13.043747,21
12.36328,21
118.868607,21
-80.431496,21
-79.379326,21
11.411465,21
8.51046,21
-77.488503,21
4.96651,21
-71.254135,21
119.909721,20
3.22424,20
151.212997,20
103.757721,20
10.52673,20
8.53468,20
50.135212,20
-99.033127,20
127.139389,20
13.001616,20
131.873505,20
111.616669,20
66.76667,20
113.300102,20
118.183327,20
4.465397,20
-84.502151,20
18.531879,20
-122.272751,20
119.455559,20
17.251877,20
10.39659,19
107.030609,19
50.583263,19
-88.309464,19
-117.823112,19
-117.603104,19
-122.123009,19
31.24967,19
-96.744873,19
-86.157181,19
8.77052,19
6.793335,19
146.394974,19
14.16717,19
139.649994,19
-5.975701,18
75.833366,18
4.209895,18
7.625645,18
-90.075073,18
16.552759,18
-121.929489,18
120.313286,18
13.42246,18
8.24938,18
76.949997,18
123.173203,18
106.631989,18
-122.395103,18
-121.4944,18
-83.352417,18
4.94487,18
72.616783,18
15.04167,18
19.02747,18
-81.184601,18
18.007532,17
6.39027,17
-71.454788,17
-2.36667,17
-0.85309,17
5.44973,17
-97.076385,17
-84.386612,17
-104.883926,17
-75.697998,17
79.847588,17
-96.978302,17
109.959167,17
135.092773,17
77.033669,17
126.926872,17
-3.51434,17
117.969002,17
27.13838,17
-78.643494,17
-123.030228,17
10.119071,16
8.30592,16
-117.189484,16
32.854271,16
-3.52751,16
-97.516434,16
5.68889,16
4.08573,16
5.661259,16
6.633197,16
117.76667,16
-3.64197,16
21.933331,16
-118.08757,16
-79.379951,16
106.084641,16
-75.531677,16
7.85222,16
-9.24671,16
36.25272,16
9.99155,16
7.871661,16
118.714989,16
118.063354,16
112.614998,16
-85.129364,16
-121.820831,16
7.42562,16
7.012673,16
118.564552,16
-88.00956,16
17.115561,16
-122.205376,16
114.328865,16
24.319651,16
-105.136505,16
-89.511383,16
20.25,15
5.85278,15
5.45972,15
10.997721,15
-96.798347,15
-100.383926,15
121.032692,15
10.394367,15
117.120003,15
23.283331,15
-74.27755,15
-2.1552,15
-97.764297,15
-2.41667,15
112.900002,15
11.881701,15
-118.401291,15
127.443146,15
-86.784439,15
38.9725,15
7.945277,15
126.783508,15
-96.83873,15
-34.881348,15
150.283325,15
52.658421,15
110.900002,15
127.199989,15
-0.97113,15
-96.879204,15
-6.832251,15
-1.98396,15
111.99485,15
105.325333,15
28.188871,15
126.523346,15
7.68682,15
-80.752609,15
-61.388081,14
-74.144836,14
-87.75811,14
-80.273979,14
35.225174,14
-77.028336,14
0.75,14
-0.33333,14
-49.27346,14
114.494209,14
145.123657,14
-86.160202,14
-6.906748,14
-103.809662,14
-0.481315,14
9.652772,14
-78.899078,14
-73.65773,14
77.224121,14
6.72978,14
112.532784,14
6.466349,14
107.632027,14
-97.147041,14
-89.616486,14
11.423769,14
2.27752,14
103.716667,14
2.294532,14
-80.297356,14
-7.486573,13
4.63333,13
-80.083099,13
-56.168121,13
-96.804398,13
12.10359,13
5.96949,13
61.429722,13
48.400002,13
7.26608,13
7.07907,13
-0.71986,13
15.056128,13
-2.7804,13
3.058829,13
-2.88116,13
-79.837128,13
114.633331,13
-0.4137,13
73.400002,13
12.89026,13
15.61415,13
11.65101,13
-93.031929,13
9.935919,13
106.649895,13
113.033333,13
-0.76667,13
8.34851,13
-47.400909,13
6.78333,13
-83.747223,13
-80.053368,13
101.76667,13
116.292503,13
101.528053,13
-86.877434,13
-80.374802,13
-92.045235,13
-122.40081,13
-71.820145,12
8.29636,12
28.226997,12
11.569095,12
8.1,12
-80.346992,12
-82.458427,12
2.25,12
-118.491386,12
4.85973,12
5.3021,12
-97.003601,12
85.320625,12
5.73309,12
25.970695,12
13.509969,12
117.207893,12
32.510731,12
11.21433,12
151.099762,12
122.113678,12
34.98917,12
37.899841,12
122.204651,12
111.316673,12
113.816673,12
116.978851,12
15.64861,12
-122.27652,12
24.749994,12
112.37925,12
118.173515,12
-117.252502,12
-119.835388,12
28.856674,12
35.160259,12
-74.012184,12
11.338558,12
12.400026,11
-77.460541,11
2.202898,11
-117.082329,11
73.779999,11
126.83493,11
4.53472,11
14.250132,11
110.420258,11
106.818611,11
71.445976,11
9.93567,11
116.791672,11
15.646681,11
-104.969307,11
-119.814163,11
-84.470383,11
116.364319,11
116.072403,11
-96.731628,11
121.752518,11
-82.679359,11
