port,count
443,113200
11434,32361
80,14921
8080,14080
3000,8118
8888,7918
8000,4966
8089,1001
9999,948
8085,937
5001,919
8443,888
9443,888
5060,833
123,787
8188,787
21,770
7547,724
995,715
5601,686
8983,656
7443,644
28017,641
8889,627
5000,611
9200,602
9090,583
9001,556
8081,523
7777,498
8001,494
10000,494
808,490
88,461
8090,455
3306,451
8082,448
8800,429
9100,424
111,411
7000,406
8880,400
9080,399
81,392
10002,390
8083,389
8002,386
9020,386
5985,383
8088,378
2053,367
2095,364
3389,361
2086,360
49155,356
5357,353
2087,353
82,348
9000,348
2078,347
8008,345
40000,344
2052,339
7170,339
4433,338
8181,338
18080,336
49153,333
8020,332
85,331
50001,329
20000,327
888,325
60000,324
8084,318
4443,315
2082,314
49154,313
4567,313
2077,311
4444,310
2079,310
3128,309
135,309
110,308
50777,305
30005,305
10443,304
1025,303
2096,302
55555,301
444,299
2080,298
1024,296
49152,296
47001,294
993,285
58000,282
2083,278
541,276
445,274
50580,272
50805,268
51005,268
1000,266
58603,265
4343,262
1433,262
20202,261
500,259
1194,258
10001,258
51007,252
8291,251
50995,249
1723,234
7860,230
8890,226
554,225
465,225
587,209
520,204
1701,194
20201,194
10101,190
10086,187
10080,186
6363,185
52025,183
9990,182
10089,180
10081,179
10065,176
10380,172
10049,171
10480,170
11082,169
11101,169
10100,167
10048,167
10390,167
10075,166
10936,166
10398,164
10397,164
10071,164
9988,162
10533,162
10066,161
10052,161
10083,161
10399,160
10046,160
10010,160
10087,160
11000,159
5555,158
10444,158
10933,158
10051,158
10082,158
10047,156
11027,155
6333,155
10810,152
10093,152
3142,150
10477,150
10034,149
10028,148
3132,147
11002,147
18888,146
10009,146
10209,146
10393,146
10027,146
10068,145
9994,145
9991,144
10084,144
11007,144
9993,143
10018,143
10014,142
11065,142
10050,142
10013,142
10012,142
10029,142
10445,141
11084,140
10011,140
10024,140
10934,139
10017,137
10045,137
3127,137
8899,136
10016,135
9966,135
10943,135
10015,135
10021,134
10033,134
65,134
10025,133
11075,133
9992,133
10090,132
9955,131
10022,131
10031,130
10044,130
9998,130
10023,129
10006,129
10020,128
10892,128
10205,128
9977,128
12345,128
10935,127
10019,124
0,123
3010,123
10037,122
10036,122
3129,119
3011,119
3018,119
3009,118
10004,118
3021,118
3063,116
10007,116
10008,115
10026,115
10894,115
3120,115
3091,114
10043,114
3022,114
3015,113
3094,113
3092,112
10256,112
3134,112
3149,112
3061,111
3062,111
10225,111
10201,111
3014,111
10032,110
3064,110
3020,110
3059,110
3056,109
3144,109
3133,109
3060,109
3138,109
3093,109
3095,108
10106,108
8865,108
3145,108
3147,108
9950,108
3049,108
3146,107
3057,107
3141,106
3143,106
3007,106
3019,106
3156,106
3155,105
3004,105
3102,105
3017,105
3054,104
3053,104
3158,104
3157,104
10251,104
3104,103
3086,103
3154,103
10249,102
3159,102
3085,101
3051,101
3083,101
3121,100
3136,100
3151,100
10348,100
3016,100
3114,100
3112,100
10210,100
3042,100
3101,100
3082,99
3012,99
3152,99
3140,99
5002,99
3130,99
3013,99
10038,99
3162,99
3148,98
3139,98
3081,98
3116,97
8004,97
10254,97
3161,96
3160,96
3006,96
3150,96
3047,96
3084,95
3088,95
3165,95
3111,95
3090,95
3055,94
3164,94
3113,93
10324,93
3087,93
3163,93
3089,93
3137,93
3058,92
8003,92
3135,92
3008,92
3117,92
10041,91
3065,91
3105,91
8881,91
3103,91
6005,90
8887,90
12346,90
3118,90
3048,90
6006,89
3100,89
12360,88
10302,88
3096,88
10283,88
12357,88
1234,88
3125,87
12348,87
3131,87
20180,87
12353,87
3108,87
12329,86
12339,86
12349,86
3115,86
3109,86
12000,85
12344,85
20292,85
3167,85
12363,85
3110,85
3099,85
12356,85
12352,84
12361,84
3166,84
3126,84
55434,84
12350,83
3168,83
12359,83
12364,83
7001,83
12333,82
3106,82
12351,82
3169,81
8099,81
10042,81
12355,80
12362,80
3122,80
3107,80
12337,79
12334,79
10240,79
9003,79
12342,79
8886,79
32768,79
10181,78
12336,78
12347,78
12358,78
12338,78
12366,78
89,78
9930,77
12341,77
6060,77
3153,77
12343,77
12365,76
3098,76
16000,76
7272,76
3003,75
12328,75
8600,74
12332,74
3119,74
12340,74
9939,74
3071,73
12335,73
12354,72
3074,72
12330,72
8030,71
12331,71
55435,71
3080,71
5004,71
6007,70
57788,69
57787,69
58585,69
58532,68
32769,68
65004,68
3170,68
3072,68
8200,68
3524,68
60099,68
9010,67
59012,67
5007,67
64477,67
9009,67
6002,67
3171,66
57782,66
86,66
62080,66
3124,66
9008,66
3067,66
3068,66
63443,66
64683,66
62865,66
40001,66
3079,66
7005,65
62237,65
3123,65
57785,65
57783,65
3001,65
58378,65
57786,65
9876,65
3073,65
59443,65
15000,65
64671,65
6009,65
7080,65
61617,65
61619,65
62443,64
63676,64
8885,64
3078,64
8884,64
12326,64
3066,64
6008,64
57781,64
57784,64
5901,63
8883,63
63045,63
58392,63
44818,63
12327,62
3333,62
3528,62
3076,62
5405,62
3280,61
8010,60
8159,60
6664,60
6581,60
8882,60
7700,60
8567,60
32414,59
3077,59
6003,59
9002,59
3172,59
12322,59
8251,59
87,59
8086,58
83,58
7657,58
280,58
98,57
19888,57
6868,57
5008,57
6699,57
8032,57
51,57
3299,57
16010,57
3522,57
3525,56
9012,56
8087,56
6010,56
61234,55
8546,55
27017,55
65000,55
9030,55
3173,55
3070,55
3307,55
1588,54
7788,54
32770,54
5902,54
9929,54
58443,54
32773,54
12300,54
6780,54
12324,53
5003,53
8058,53
3174,53
8069,53
16030,53
3283,53
8545,53
9306,53
1505,53
3180,53
12321,53
5005,53
10180,52
60021,52
8040,52
7676,52
9292,52
8989,52
6782,52
3176,52
3288,51
62016,51
12325,51
8834,51
13579,51
3002,51
8765,51
3175,51
9300,51
10030,50
53413,50
10003,50
4000,50
33848,50
49,50
10200,50
11110,50
8025,50
449,50
2424,50
5222,49
18264,49
32771,49
4001,49
9923,49
2362,49
12323,49
5801,49
7778,49
6565,49
1741,49
16992,49
3177,49
5006,48
9005,48
6588,48
38,48
8007,48
3069,48
14443,48
139,48
3531,48
9711,47
3178,47
12999,47
37,47
102,47
4664,47
5938,47
3520,47
8289,47
8060,47
8554,47
3523,47
2443,47
6881,47
8006,47
1302,46
9091,46
19999,46
1010,46
14534,46
7776,46
6560,46
1212,46
4506,46
1947,45
8005,45
8098,45
6669,45
3790,45
10005,45
1610,45
2306,45
1290,45
11001,45
10040,45
10123,45
999,45
3479,45
6697,45
30001,45
311,44
6399,44
9004,44
8140,44
5061,44
3311,44
7171,44
264,44
4660,44
8161,44
19150,44
7199,44
18000,44
3310,44
2501,44
6004,44
2055,44
4449,44
8091,44
2160,44
4505,43
8529,43
523,43
2181,43
18245,43
9600,43
9295,43
6600,43
57780,43
7500,43
800,43
30312,43
4450,43
8097,43
7402,43
1777,43
7002,43
2223,43
6066,43
2404,42
7007,42
7014,42
8014,42
3097,42
69,42
1177,42
9006,42
8182,42
5560,42
8891,42
1311,42
6544,42
1201,42
10039,42
1830,42
32,42
50075,41
4440,41
14265,41
7779,41
6502,41
2480,41
7401,41
9334,41
2638,41
9191,41
7180,41
49156,41
6068,40
51434,40
6667,40
777,40
4430,40
9981,40
5678,40
7003,40
8686,40
9093,40
55553,40
4369,40
7548,40
3689,40
9919,40
7187,40
30050,40
13666,40
3749,40
7145,40
9108,40
4300,40
8093,40
18086,40
8092,40
84,40
18246,39
646,39
2049,39
2051,39
10250,39
4112,39
47808,39
1241,39
4800,39
8139,39
1200,39
32400,39
853,39
6080,39
4200,39
994,39
898,39
30311,39
7,39
2406,39
7144,39
1935,39
2064,39
8688,38
36,38
9092,38
3541,38
5400,38
7537,38
2396,38
9333,38
5820,38
1720,38
48899,38
16922,38
5080,38
90,38
30313,37
50060,37
2020,37
49151,37
8111,37
50070,37
58888,37
11310,37
2000,37
3179,37
143,37
11965,37
7780,37
8138,37
55436,37
3542,37
9754,37
9804,37
8009,37
1214,37
8818,37
5802,37
389,37
5236,37
3183,36
9458,36
3181,36
30,36
7004,36
12320,36
9869,36
9418,36
2869,36
880,36
12020,36
8095,36
55554,36
1901,36
876,36
8444,36
2024,36
2103,36
5443,36
50111,36
