region,count
California,46893
Virginia,17436
Beijing,14470
Hessen,14075
Singapore,12575
England,11484
Zhejiang,9623
Tokyo,8245
New South Wales,7820
Oregon,7759
Guangdong,7209
HK,6862
New Jersey,6486
Dublin,6016
Maharashtra,5878
Texas,5737
Georgia,5477
Bayern,5441
Ile-de-France,5264
Seoul-teukbyeolsi,5244
Washington,4287
Ohio,4144
Shanghai,4142
Quebec,4089
Sao Paulo,4085
Osaka,4033
Western Cape,3645
Stockholms lan,3469
Nordrhein-Westfalen,3430
TW,2873
Gyeonggi-do,2867
Noord-Holland,2440
Berlin,2309
Jiangsu,2044
Ontario,1922
Colorado,1631
Sichuan,1461
Iowa,1370
Hauts-de-France,1335
Utah,1335
Moskva,1315
Uusimaa,1308
New York,1244
Baden-Wurttemberg,1171
Florida,1134
"Praha, Hlavni mesto",1109
District of Columbia,1106
Lombardia,1048
Shandong,1035
"Madrid, Comunidad de",899
Arizona,890
Missouri,881
Thuringen,871
Hubei,839
Sachsen,817
Tel Aviv,802
Fujian,767
Hovedstaden,747
Henan,703
Brussels Hoofdstedelijk Gewest,696
Noord-Brabant,642
Wales,592
Chongqing,586
Sankt-Peterburg,570
Illinois,526
Hunan,523
Mazowieckie,504
Grand-Est,490
Overijssel,469
Jihocesky kraj,464
Pennsylvania,463
British Columbia,448
Zurich,435
South Carolina,430
Zachodniopomorskie,406
Jiangxi,404
Hebei,401
Anhui,377
Zuid-Holland,355
-,343
Michigan,311
North Carolina,308
Hamburg,301
Karnten,292
Tianjin,291
Midtjylland,291
Liaoning,284
Jakarta Raya,281
Lodzkie,280
Jawa Barat,263
Ha Noi,260
Shanxi,259
Malopolskie,257
Krung Thep Maha Nakhon,256
Niedersachsen,252
Massachusetts,240
Rheinland-Pfalz,240
Yunnan,239
Ba Ria - Vung Tau,238
Karnataka,235
Ho Chi Minh,225
Indiana,220
Gauteng,219
Schleswig-Holstein,217
Sindh,211
Victoria,210
Guangxi Zhuangzu,207
Gangwon-do,206
Khanty-Mansiyskiy avtonomnyy okrug,206
Groningen,198
Tehran,189
Gelderland,180
Uttar Pradesh,177
Wielkopolskie,176
Scotland,172
Dubayy,170
Nevada,169
Moskovskaya oblast',164
Kentucky,164
Gansu,163
Sofia (stolitsa),159
Saarland,148
Bratislavsky kraj,145
Shaanxi,145
Flevoland,137
Kyiv,136
Telangana,133
Queensland,129
Fryslan,129
Jihomoravsky kraj,126
Geneve,125
nan,123
Attiki,123
Nei Mongol,119
Istanbul,118
Region Metropolitana de Santiago,118
Fukuoka,118
Wilayah Persekutuan Kuala Lumpur,117
Provence-Alpes-Cote-d'Azur,116
Drenthe,115
Vilniaus apskritis,114
Wyoming,112
Oslo,108
Minnesota,108
Daejeon-gwangyeoksi,107
Ningxia Huizu,107
MO,107
Maryland,106
Bern,105
Budapest,103
Andalucia,102
Oost-Vlaanderen,101
