server,count
nginx,97387
nan,52397
cloudflare,29415
uvicorn,23212
Apache,8693
nginx/1.18.0 (Ubuntu),7242
nginx/1.22.1,5991
openresty,5463
TornadoServer/6.1,5219
Vercel,3935
nginx/1.24.0 (Ubuntu),3659
TornadoServer/6.2,2503
Caddy,2435
LiteSpeed,1867
nginx/1.15.12,1804
TornadoServer/6.0.4,1640
nginx/1.20.1,1432
nginx/1.27.4,1176
TornadoServer/6.3.2,1136
TornadoServer/6.4,845
TornadoServer/6.0.3,731
nginx/1.16.1,721
nginx/1.27.0,682
nginx/1.18.0,648
nginx/1.25.5,646
nginx/1.27.3,629
Apache/2,622
nginx/1.24.0,608
TornadoServer/5.1.1,601
Microsoft-IIS/10.0,567
ConcedoLlamaForKoboldServer,567
Tengine,564
Apache/2.4.52 (Ubuntu),545
TornadoServer/6.3.3,527
nginx/1.26.2,519
TornadoServer/6.4.1,491
nginx/1.14.1,482
nginx/1.27.2,468
Apache/2.4.62 (Debian),457
Apache/2.4.41 (Ubuntu),420
nginx/1.14.0 (Ubuntu),389
Apache/2.4.29 (Ubuntu),357
TornadoServer/6.4.2,315
nginx/1.21.5,311
nginx/1.26.3,304
llama.cpp,303
IdeaWebServer/6.3.1,293
nginx/1.10.1,272
nginx/1.25.4,238
nginx/1.13.8,231
nginx/1.14.2,231
TornadoServer/6.0.2,227
openresty/1.19.3.2,220
Apache/2.4.62 (Unix),218
Elestio,213
Apache/2.4.58 (Ubuntu),194
nginx/1.26.0 (Ubuntu),194
TornadoServer/5.1,191
nginx/1.23.4,173
TornadoServer/5.0.2,167
nginx/1.27.1,165
nginx/1.25.3,161
Google Frontend,156
istio-envoy,154
TornadoServer/4.5.3,145
Apache/2.4.25 (Debian),139
AmazonS3,138
nginx/1.26.1,129
hcdn,129
Apache/2.4.57 (Unix),122
Microsoft-IIS/8.5,119
Apache/2.4.63 (Unix),117
GitHub.com,115
Netlify,113
nginx/1.10.3 (Ubuntu),112
ATS,105
Microsoft-IIS/7.5,102
Squarespace,102
Python/3.10 aiohttp/3.11.13,101
nginx/1.10.3,100
TornadoServer/4.5.1,93
Cargo,93
TornadoServer/6.3.1,91
Apache/2.4.38 (Debian),90
GSE,90
Apache/2.4.10 (Debian),89
envoy,88
openresty/1.19.3.1,85
nginx/1.23.3,83
TornadoServer/4.5.2,83
openresty/1.25.3.1,82
gunicorn,78
nginx/1.12.1,77
Apache/2.4.59 (Debian) SVN/1.10.4 mod_fcgid/2.3.9 OpenSSL/1.1.1n,75
cdn,74
Python/3.12 aiohttp/3.11.11,72
nginx/1.13.7,71
Apache/2.4.18 (Ubuntu),69
nginx/1.12.2,69
openresty/1.19.9.1,68
Microsoft-IIS/6.0,66
nginx/1.22.0 (Ubuntu),64
CM4all Webserver,64
nginx/1.26.0,64
Tengine/3.1.0,62
nginx/1.25.2,62
nginx/1.22.0,61
nginx/1.17.9,61
Kestrel,60
JAWS/1.0Oct232015,59
Apache/2.4.62,59
nginx/1.20.2,59
openresty/1.15.8.2,59
PDR-M800/1.0,59
TornadoServer/6.3,58
openresty/1.13.6.2,58
Goahead/2.5.0PeerSec-MatrixSSL/3.2.1-OPEN,57
Apache/2.4.10 (Raspbian),57
success web server/1.0.0,56
Sun GlassFish Enterprise Server v2.1,56
Python/3.10 aiohttp/3.11.11,56
nginx/1.14.0,55
SAP NetWeaver Application Server 7.45 / AS Java 7.40,54
ASUSTeK UPnP/1.0 MiniUPnPd/1.4,54
Apache/2.4.59 (Debian),54
Miniwebserver2.0CDATAcorp2017.,54
CWMP-Agent,53
d45964bf-d48c-477c-8655-56bb369797b6,53
BlueServer/5.5.4.1,53
"OrientDB Server v.2.2.37 (build a7541e7ceeabf592dd9a7b2928b6c023cbc73193, branch 2.2.x)",53
Jetty(winstone-2.8),53
FPBX-14.0.17(13.38.3),53
awselb/2.0,52
SonicWALL,52
WYF,52
Lotus-Domino,52
Docker/19.03.8 (linux),52
Boa/0.94.13,52
Huawei Auth-Http Server 1.0,52
RomPager/4.07,52
HTTPD_ac 1.0,52
NetBox Version 2.8 Build 4128,52
App-webs/,52
WSGIServer/0.2 CPython/3.6.8,51
jjhttpd v0.1.0,51
HTTP Server,51
Apache/2.2.22 (Ubuntu),51
ch,51
JBoneOS-http,51
box,51
TornadoServer/4.4.3,51
UCM6102 Configuration | Login,51
HP-iLO-Server/1.30,51
"Linux/2.6.21.5, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",51
TwistedWeb/12.1.0,51
Mini web server 1.0 ZXIC corp 2005.,51
nginx/1.19.1,51
Allegro-Software-RomPager/4.30,51
Network_Module/1.0 (RX-V581),51
Jetty(i-jetty 6.0-1570509416),51
Oracle-HTTP-Server-11g,51
SocketTools/11.0,50
Serv-U/15.3.2.155,50
Werkzeug/0.9.4 Python/2.7.6,50
"Linux,STUNNEL/1.0,DIR-850LVer1.06",50
NBB-414,50
sposhttpd/4.8,50
lighttpd/1.4.26-devel-v14.07.2,50
RGOS HTTP-Server/1.1,50
SRS/4.0.198(Leo),50
mini_httpd/1.1919dec2003,50
ttyd/1.6.3-3b174da (libwebsockets/4.1.6-),50
OVHcloud,50
appnode/ccenter,50
HTTPServer1.0,50
RSS-Webs/1.4b78p13,50
ksc/1223,50
Boa/0.94.11,49
Innbox_webserv,49
ZTE-Webs/2.5.0 PeerSec-MatrixSSL/3.1.3-OPEN,49
squid/4.13,49
hypercorn-h11,49
kngx/1.10.2,49
CloudFront,49
PasteWSGIServer/0.5 Python/2.7.6,49
openresty/1.27.1.1,49
mhttpd v1.1,49
DGuard Center 7.1.6.9,49
(null),49
Python/3.12 aiohttp/3.11.13,49
Boa/0.94.14rc20,49
Jetty(9.4.43.v20210629),49
Tengine/1.5.2,49
waitress,49
openresty/1.15.8.1,49
ver2.4 rev0,49
tinyproxy/1.11.1,48
Unknown-Webserver/1.0,48
gunicorn/20.0.4    831,48
WebSockify Python/3.6.9,48
LHS,48
micro_httpd,48
thttpd/2.2426oct2003,48
convesio/2.1,48
TwistedWeb/12.0.0,48
sundray,48
SinforHttpd/1.0,48
CheckPointSVNfoundation,48
phpiis.com,48
Mikrotik HttpProxy,48
OS 1.0 UPnP/1.0 Realtek/V1.3,48
WebServer-Webs/2.5.0,48
INTELEKTRON WEB SERVER,48
Embedded HTTP Server.,48
Tengine/2.3.3,48
"HP HTTP Server; HP ENVY 7640 series - E4W43A; Serial Number: TH73P4S0Q0063T; Built:Tue May 26, 2020 07:08:30AM {NSM2CN2022AR}",48
SonicWALL SSL-VPN Web Server,47
axhttpd/1.4.0,47
728/09824  HTTP Server version 2.0 - TELDAT S.A.,47
DasanNetwork Solution,47
sthttpd/2.27.0 03oct2014,47
GoOryx/1.0.5,47
MiniServ,47
Mhz server,47
K2P,47
MS-SDK-HttpServer/1.0,47
"Linux/4.9.84, UPnP/1.0, Portable SDK for UPnP devices/1.14.0",47
Nexus/3.19.1-01 (OSS),47
Kerio Connect 7.0.1,47
Brovotech/2.0.0,47
httpserver1.0,47
webfs/1.21,47
alphapd/2.1.8,47
Asterisk/1.8.9,47
WebSocket++/0.7.0,47
ADB Broadband HTTP Server,47
PoweredbyElectronicArts,47
15dbd20f-7fc0-910a-349c-94a3d569e732,47
Ruijie Server,47
Cross Web Server,47
Hikvision-Webs,47
Docker/20.10.2 (linux),46
Tableau,46
Winstone Servlet Engine v1.0.5,46
Miniwebserver1.0CMIOTcorp2018.,46
Varnish,46
Eudemon Auth-Http Server 1.0,46
Mbedthis-Appweb/2.4.2,46
Microsoft-IIS/5.1,46
lwIP/1.4.0 (http://savannah.nongnu.org/projects/lwip),46
Cougar/9.01.01.3841,46
"Linux,STUNNEL/1.0,DIR-860LVer1.07",46
TwistedWeb/16.2.0,46
chan-cubox,46
Jetty(7.6.0.v20120127),46
Tengine/2.1.2,46
nxahttp/2.1.7415.0,46
Web/0.02.07,46
eWON,46
squid/3.1.20,46
Abyss/2.8.0.5-X2/B2-Win32 AbyssLib/2.8.0.1,46
UPnP/1.0 DLNADOC/1.50,46
4fd7d672-bbd6-f059-9dff-51e02d6e25ee,46
IPC/2.0.0,46
Apache/2.4.25 (Raspbian),46
Jetty(6.1.x),46
httpd/3.0,46
X-Web,46
Safedog/4.0.0,46
Hiawathav6.14,46
bfe/1.0.8.18,46
boss/1.0 (BOSS),46
workerman,46
Destiny,46
2.2.23,46
RainLoop,46
IPC GK7101 HttpServer 1.0,46
X-web,46
Embedthis-Appweb/3.3.1,46
Hipcam RealServer/V1.0,46
iSpy,46
Wildfly 8,46
Output-Streamer/0.2,46
tr069 http server,46
XovisPCSeries,46
PanWeb Server/ -,45
Rumpus,45
i4m web,45
Unkown,45
WVS,45
JAWS/1.0Jan302016,45
IPCGK7101HttpServer1.0,45
Hipcam,45
RealtronWebServer1.1,45
BlueServer/5.3.2.9,45
GWS/100.0,45
"Linux/4.4.180+, UPnP/1.0, Portable SDK for UPnP devices/1.12.1",45
Apache-Coyote/1.1,45
Climatix,45
Beaver,45
webserver,45
nginx/1.25.1,45
IPCamera-Web,45
uhttpd/1.0.0,45
TASK-SERVER-NAS,45
squid/4.14,45
webcache,45
SRS/3.0.85(OuXuli),45
nostromo 1.9.4,45
Arcadyan httpd 1.0,45
RealVNC/E4,45
LPS-0.1,45
