framework,US,CN,DE,JP,SG,GB,KR,AU,FR,IN,CA,IE,NL,BR
AnythingLLM,1491,1429,286,20,55,47,23,22,46,24,53,7,40,15
ComfyUI,9999,3843,216,183,119,51,92,16,78,58,67,11,47,6
FastAPI,1606,779,345,95,147,118,156,49,110,281,53,96,83,45
GPT4All,1275,365,189,41,34,33,30,7,47,9,33,0,25,7
Gradio,3987,2402,509,275,389,156,234,50,175,133,345,83,89,13
Jan,9977,46,8477,140,125,289,2,113,626,193,125,98,2832,15
Jupyter Notebook,8444,6680,1532,1008,321,1038,1308,222,290,437,167,823,130,158
Llamafile,12,3,5,1,0,0,1,0,0,6,0,1,0,0
NextChat,9999,10000,313,1164,1867,191,462,125,68,72,874,3,104,31
Ollama,46871,21866,11586,8853,8303,8915,5360,7129,4887,5095,3884,4744,730,3855
Open web UI,9998,7186,5596,595,995,1343,909,517,1214,405,722,152,707,221
Ray serve,119,5,14,0,1,7,0,0,0,6,157,0,2,0
Text generation web UI,989,355,63,39,49,18,19,9,42,7,37,3,22,3
VLLM,3436,1519,260,147,145,42,65,17,35,16,52,5,32,1
llamacpp,3525,115,166,75,25,19,19,4,51,18,43,3,15,2
