os,server,count
nan,nginx,97417
nan,nan,52397
nan,cloudflare,29414
nan,uvicorn,23212
nan,apache,8697
ubuntu,nginx/1.18.0 (ubuntu),7242
nan,nginx/1.22.1,5991
nan,openresty,5463
nan,tornadoserver/6.1,5219
nan,vercel,3935
ubuntu,nginx/1.24.0 (ubuntu),3659
nan,tornadoserver/6.2,2503
nan,caddy,2435
nan,litespeed,1867
nan,nginx/1.15.12,1804
nan,tornadoserver/6.0.4,1640
nan,nginx/1.20.1,1432
nan,nginx/1.27.4,1176
nan,tornadoserver/6.3.2,1136
nan,tornadoserver/6.4,845
nan,tornadoserver/6.0.3,731
nan,nginx/1.16.1,721
nan,nginx/1.27.0,682
nan,nginx/1.18.0,648
nan,nginx/1.25.5,646
nan,nginx/1.27.3,629
nan,apache/2,621
nan,nginx/1.24.0,608
nan,tornadoserver/5.1.1,601
nan,concedollamaforkoboldserver,567
windows,microsoft-iis/10.0,567
nan,tengine,564
ubuntu,apache/2.4.52 (ubuntu),545
nan,tornadoserver/6.3.3,527
nan,nginx/1.26.2,519
nan,tornadoserver/6.4.1,491
nan,nginx/1.14.1,482
nan,nginx/1.27.2,468
debian,apache/2.4.62 (debian),457
ubuntu,apache/2.4.41 (ubuntu),420
ubuntu,nginx/1.14.0 (ubuntu),389
ubuntu,apache/2.4.29 (ubuntu),357
nan,tornadoserver/6.4.2,315
nan,nginx/1.21.5,311
nan,nginx/1.26.3,304
nan,llama.cpp,303
nan,ideawebserver/6.3.1,293
nan,nginx/1.10.1,271
nan,nginx/1.25.4,238
nan,nginx/1.13.8,231
nan,nginx/1.14.2,231
nan,tornadoserver/6.0.2,227
nan,openresty/1.19.3.2,220
unix,apache/2.4.62 (unix),218
nan,elestio,213
ubuntu,nginx/1.26.0 (ubuntu),194
ubuntu,apache/2.4.58 (ubuntu),194
nan,tornadoserver/5.1,191
nan,nginx/1.23.4,173
nan,tornadoserver/5.0.2,167
nan,nginx/1.27.1,165
nan,nginx/1.25.3,161
nan,web server,157
nan,google frontend,156
nan,istio-envoy,154
nan,tornadoserver/4.5.3,145
debian,apache/2.4.25 (debian),139
nan,amazons3,138
nan,nginx/1.26.1,129
nan,hcdn,129
unix,apache/2.4.57 (unix),122
nan,webserver,122
windows,microsoft-iis/8.5,119
unix,apache/2.4.63 (unix),117
nan,github.com,115
nan,httpd,114
nan,netlify,113
ubuntu,nginx/1.10.3 (ubuntu),112
nan,ats,105
nan,squarespace,102
nan,python/3.10 aiohttp/3.11.13,101
