os,server,count
ubuntu,nginx/1.18.0 (ubuntu),7242
ubuntu,nginx/1.24.0 (ubuntu),3659
windows,microsoft-iis/10.0,567
ubuntu,apache/2.4.52 (ubuntu),545
debian,apache/2.4.62 (debian),457
ubuntu,apache/2.4.41 (ubuntu),420
ubuntu,nginx/1.14.0 (ubuntu),389
ubuntu,apache/2.4.29 (ubuntu),357
unix,apache/2.4.62 (unix),218
ubuntu,apache/2.4.58 (ubuntu),194
ubuntu,nginx/1.26.0 (ubuntu),194
debian,apache/2.4.25 (debian),139
unix,apache/2.4.57 (unix),122
windows,microsoft-iis/8.5,119
unix,apache/2.4.63 (unix),117
ubuntu,nginx/1.10.3 (ubuntu),112
windows,microsoft-iis/7.5,101
debian,apache/2.4.38 (debian),90
debian,apache/2.4.10 (debian),89
debian,apache/2.4.59 (debian) svn/1.10.4 mod_fcgid/2.3.9 openssl/1.1.1n,75
ubuntu,apache/2.4.18 (ubuntu),69
windows,microsoft-iis/6.0,65
ubuntu,nginx/1.22.0 (ubuntu),64
raspbian,apache/2.4.10 (raspbian),57
debian,apache/2.4.59 (debian),54
ubuntu,apache/2.2.22 (ubuntu),51
linux,linux/2.4 upnp/1.0 brcm400/1.0,44
raspbian,apache/2.4.25 (raspbian),44
debian,apache/2.4.56 (debian),44
windows,microsoft-iis/5.1,44
windows,apache/2.4.9 (win32) openssl/1.0.1g php/5.5.11,43
unix,apache/2.2.0 (unix) mod_ssl/2.2.0 openssl/0.9.7g php/5.1.1,43
windows,microsoft-iis/8.0,41
unix,apache/2.4.46 (unix) openssl/1.1.1j,40
unix,apache/1.3.31 (unix),38
unix,apache/1.3.28 (unix) mod_ssl/2.8.15 openssl/0.9.8d,38
unix,apache/2.4.27 (unix) openssl/1.0.2k,37
linux,linux/2.x upnp/1.0 avtech/1.0,37
unix,cherokee/0.99.9 (unix),34
windows,apache/2.4.23 (win32) openssl/1.0.2h php/5.6.24,32
windows,microsoft-iis/7.0,31
debian,apache/2.2.22 (debian),29
unix,apache/2.4.43 (unix) openssl/1.1.1g,28
windows,apache/2.4.12 (win32) openssl/1.0.1l php/5.6.8,28
unix,apache/2.4.56 (unix) openssl/1.1.1t php/8.2.4 mod_perl/2.0.12 perl/v5.34.1,24
ubuntu,apache/2.4.7 (ubuntu),21
ubuntu,apache/1,18
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/7.4.33,17
ubuntu,apache/2.4.63 (ubuntu),16
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/8.2.20,15
debian,apache/2.4.54 (debian),14
windows,apache/2.4.39 (win64) openssl/1.1.1b mod_fcgid/2.3.9a mod_log_rotate/1.02,12
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/5.4.16,11
ubuntu,nginx/1.4.6 (ubuntu),11
ubuntu,nginx/1.17.10 (ubuntu),11
ubuntu,nginx,10
debian,apache/2.4.57 (debian),10
debian,apache/2.4.61 (debian),9
ubuntu,apache/2.4.62 (ubuntu),8
windows,apache/2.4.58 (win64) openssl/3.1.3 php/8.2.12,8
ubuntu,nginx/1.16.1 (ubuntu),8
unix,apache/2.4.62 (unix) openssl/1.1.1k,7
windows,microsoft-iis/9.0,7
raspbian,apache/2.4.59 (raspbian),6
windows,apache/2.4.55 (win64) openssl/1.1.1s mod_fcgid/2.3.9a,6
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/5.6.40,6
unix,apache/2.4.58 (unix),5
suse,apache/2.4.58 (linux/suse),5
unix,apache/2.4.54 (unix) openssl/1.1.1s php/7.4.33 mod_perl/2.0.12 perl/v5.34.1,5
ubuntu,nginx/1.15.9 (ubuntu),5
ubuntu,thttpd/2.23beta1 26may2002,5
windows,apache/2.2.4 (win32) php/5.2.3,4
freebsd,apache/2.4.41 (freebsd) openssl/1.0.2u mod_fcgid/2.3.9,4
ubuntu,apache/2.4.46 (ubuntu),4
unix,apache/2.4.39 (unix) openssl/1.1.1b,4
unix,apache/2.4.62 (unix) openssl/3.4.1 mod_fcgid/2.3.9,4
unix,apache/2.4.62 (unix) openssl/3.4.0,4
unix,apache/2.4.62 (unix) openssl/3.0.9,4
raspbian,apache/2.4.56 (raspbian),4
windows,microsoft-iis,4
cpanel,apache/2.4.53 (cpanel) openssl/1.1.1n mod_bwlimited/1.4,4
unix,apache/2.2.34 (unix) mod_ssl/2.2.34 openssl/1.0.2k dav/2,4
unix,apache/2.4.52 (unix) openssl/1.1.1n,4
unix,apache/2.4.56 (unix),4
ubuntu,netpresenz,4
cpanel,apache/2.4.59 (cpanel) openssl/1.1.1w mod_bwlimited/1.4 php/5.6.40,3
centos,apache/2.4.62 (centos),3
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips mod_wsgi/4.7.1 python/3.4,3
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips,3
ubuntu,monkey/0.6.2,3
ubuntu,"linux-i386-2.6.33.2, upnp/1.0, pms/1.21.1",3
windows,apache/2.4.54 (win64) openssl/1.1.1p mod_fcgid/2.3.9a,3
debian,apache/2.4.52 (debian),3
ubuntu,ibm_http_server/1.3.12 apache/1.3.12 (unix),3
red hat enterprise linux,apache/2.4.37 (red hat enterprise linux) openssl/1.1.1k,3
unix,apache/2.4.58 (unix) openssl/1.1.1w php/8.2.12 mod_perl/2.0.12 perl/v5.34.1,3
ubuntu,apache tomcat/4.1.27-le-jdk14 (http/1.1 connector),3
red hat enterprise linux,apache/2.4.6 (red hat enterprise linux) openssl/1.0.2k-fips mod_fcgid/2.3.9 php/5.6.34,3
unix,apache/2.4.57 (unix) openssl/1.0.2k-fips,3
unix,apache/2.4.46 (unix) openssl/1.1.1d php/7.4.29,3
redhat,apache/2.4.34 (red hat),3
freebsd,apache/2.4.41 (freebsd) openssl/1.0.2s mod_fcgid/2.3.9,3
ubuntu,mbedthis-appweb/2.4.0,2
ubuntu,mbedthis-appweb/2.4.2,2
windows,microsoft-iis/4.0,2
ubuntu,microsoft-iis/5.1,2
ubuntu,isos/9.0 upnp/1.0 conexant-emweb/r6_1_0,2
ubuntu,iplanet-web-proxy-server/3.6-sp5,2
unix,apache/2.4.62 (unix) openssl/1.1.1zb php/8.1.30,2
unix,apache/2.4.52 (unix) openssl/1.1.1d,2
windows,microsoft-iis/5.0,2
unix,ibm_http_server/7.0.0.9 (unix),2
unix,apache/2.4.51 (unix) openssl/1.1.1n,2
unix,apache/2.4.59 (unix) openssl/3.3.0 php/8.3.7,2
unix,apache/2.4.51 (unix) openssl/1.1.1d svn/1.14.1 phusion_passenger/6.0.12 mod_perl/2.0.11 perl/v5.28.1,2
unix,apache/2.4.51 (unix) openssl/1.1.1d,2
windows,apache/2.4.56 (win64) openssl/3.0.8 mod_fcgid/2.3.9a mod_log_rotate/1.02,2
ubuntu,nsc/0.6.4 (jvm),2
ubuntu,php/5.3.14 zendserver/5.0,2
ubuntu,polycom soundpoint ip telephone httpd,2
ubuntu,thttpd/2.04 10aug98,2
unix,apache/2.4.63 (unix) openssl/3.4.1 php/8.4.4,2
windows,apache/2.4.54 (win64) openssl/1.1.1p php/8.1.10,2
windows,apache/2.4.54 (win64) openssl/1.1.1p php/7.4.33,2
unix,apache/2.2.26 (unix) dav/2 mod_ssl/2.2.26 openssl/0.9.8y,2
unix,apache/2.4.37 (unix) openssl/1.0.2k php/7.2.12,2
ubuntu,ibm_http_server/2.0.47.1-pk01070 apache/2.0.47 (win32) php/5.0.4,2
centos,apache/2.2.15 (centos),2
debian,apache/2.2.16 (debian),2
cpanel,apache/2.4.62 (cpanel) openssl/1.1.1w mod_bwlimited/1.4,2
ubuntu,avaya cmbe/2.0.0,2
linux,linux/2.4.21 upnp/1.0 miniupnpd/1.0,2
fedora,apache/2.4.46 (fedora) openssl/1.1.1i mod_perl/2.0.11 perl/v5.32.0,2
ubuntu,apache/2.4.57 (ubuntu),2
ubuntu,apache,2
raspbian,apache/2.4.54 (raspbian),2
ubuntu,apache/2.4.54 (ubuntu),2
ubuntu,cl-http,2
debian,apache/2.4.51 (debian),2
debian,apache/2.4.37 (debian),2
freebsd,apache/2.4.57 (freebsd) openssl/1.0.2u mod_fcgid/2.3.9,2
cpanel,apache/2.4.63 (cpanel) openssl/1.1.1w mod_bwlimited/1.4,2
ubuntu,compaqhttpserver,2
ubuntu,atphttpd,2
ubuntu,fnord,2
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/5.6.38,2
ubuntu,crushftp http server,2
ubuntu,compaqhttpserver/9.9 hp system management homepage/2.1.5.146,2
ubuntu,big-ip,2
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/8.0.30,2
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/5.4.16 mod_perl/2.0.11 perl/v5.16.3,2
suse,apache/2.4.33 (linux/suse),2
ubuntu,apache-coyote/1.1,1
ubuntu,asp.net,1
ubuntu,apache/1.3.9,1
ubuntu,apache/2,1
ubuntu,apache/2.4.55 (ubuntu),1
unix,apache/2.4.37 (unix) openssl/1.1.1k php/7.2.8,1
unix,apache/2.4.48 (unix) openssl/1.1.1k,1
ubuntu,apache/2.4.43 (ubuntu),1
ubuntu,apache/2.4.38 (ubuntu),1
ubuntu,apache/2.2.8 (ubuntu) mod_python/3.3.1 python/2.5.2 php/5.2.4-2ubuntu5.7 with suhosin-patch mod_ssl/2.2.8 openssl/0.9.8g,1
ubuntu,apache/2.2.4 (win32) php/5.2.2,1
ubuntu,gfe/1,1
ubuntu,"windows_7-x86-6.1, upnp/1.0, pms/1.52.1",1
ubuntu,avenida,1
ubuntu,ubuntu/xenial upnp/1.0 miniupnpd/1.4,1
ubuntu,squid/2.3.stable1,1
ubuntu,sun-java-system-web-server/7.0,1
ubuntu,thttpd/2.19-mx jan 24 2006,1
ubuntu,avocent dsview 3/3.7.0.71,1
ubuntu,tomcat web server/3.3.1 final ( jsp 1.1; servlet 2.2 ),1
ubuntu,ubuntu/9.04 upnp/1.0 miniupnpd/1.0,1
ubuntu,ubuntu/precise upnp/1.0 miniupnpd/1.4,1
ubuntu,ubuntu/saucy upnp/1.0 miniupnpd/1.4,1
ubuntu,varnish-cache,1
unix,apache/1.3.28 (unix) mod_auth_pam/1.1.1,1
ubuntu,virata-emweb/r6_2_0,1
ubuntu,vqserver,1
ubuntu,weblogic server 8.1 sp3 tue jun 29 23:11:19 pdt 2004 404973,1
ubuntu,"windows_7-x86-6.1, upnp/1.0, pms/1.20",1
ubuntu,"windows_7-x86-6.1, upnp/1.0, pms/1.20.412",1
