分类,方法,端点路径,功能描述,返回信息示例（JSON）
Miscellaneous,GET,/api,返回 API 版本信息,"{""version"": ""5.7.8""}"
Notebook & File API,GET,/api/contents,返回根目录的模型信息,"{""type"": ""directory"", ""content"": [...], ""format"": ""json""}"
,GET,/api/contents/<path>,返回指定路径的文件或目录模型信息,同上，根据路径内容变化
,PUT,/api/contents/<path>,创建新文件或更新现有文件,"{""message"": ""File saved successfully.""}"
,POST,/api/contents/<path>,创建新文件或目录,"{""message"": ""File created successfully.""}"
,DELETE,/api/contents/<path>,删除指定路径的文件或目录,"{""message"": ""File deleted successfully.""}"
Kernel API,GET,/api/kernels,返回当前活动的内核列表,"[{""id"": ""kernel_id"", ""name"": ""python3""}]"
,POST,/api/kernels,启动新内核,"{""id"": ""new_kernel_id"", ""name"": ""python3""}"
,GET,/api/kernels/<kernel_id>,获取指定内核的信息,"{""id"": ""kernel_id"", ""name"": ""python3"", ""last_activity"": ""..."", ""execution_state"": ""idle""}"
,DELETE,/api/kernels/<kernel_id>,关闭指定内核,"{""message"": ""Kernel shutdown successfully.""}"
Kernelspecs API,GET,/api/kernelspecs,返回可用的内核规格列表,"{""default"": ""python3"", ""kernelspecs"": {...}}"
,GET,/api/kernelspecs/<name>,获取指定内核规格的详细信息,"{""name"": ""python3"", ""spec"": {...}}"
Sessions API,GET,/api/sessions,返回当前活动的会话列表,"[{""id"": ""session_id"", ""kernel"": {...}, ""notebook"": {...}}]"
,POST,/api/sessions,创建新会话,"{""id"": ""new_session_id"", ""kernel"": {...}, ""notebook"": {...}}"
,GET,/api/sessions/<session_id>,获取指定会话的信息,"{""id"": ""session_id"", ""kernel"": {...}, ""notebook"": {...}}"
,PATCH,/api/sessions/<session_id>,更新指定会话的信息,"{""message"": ""Session updated successfully.""}"
,DELETE,/api/sessions/<session_id>,删除指定会话,"{""message"": ""Session deleted successfully.""}"
Clusters API,GET,/api/clusters,返回当前活动的集群列表（已弃用）,"[{""id"": ""cluster_id"", ""name"": ""cluster_name""}]"
,POST,/api/clusters,创建新集群（已弃用）,"{""id"": ""new_cluster_id"", ""name"": ""cluster_name""}"
,DELETE,/api/clusters/<cluster_id>,删除指定集群（已弃用）,"{""message"": ""Cluster deleted successfully.""}"
