framework,api_endpoint,status,count
Ollama,/api/chat,403,4
Ollama,/api/tags,403,4
Ollama,/api/push,403,3
Ollama,/api/copy,403,1
Ollama,/api/create,403,1
Ollama,/api/pull,403,3
Ollama,/api/show,403,1
Ollama,/api/ps,403,1
Ollama,/api/embed,403,1
Ollama,/api/generate,403,4
Ollama,/api/delete,403,2
Ollama,/api/running,403,1
Ollama,/api/version,403,1
Ollama,/api/generate,404,92
Ollama,/api/ps,200,8
Ollama,/api/embed,401,2
Ollama,/api/delete,200,109
Ollama,/api/generate,200,220
Ollama,/api/running,200,9
Ollama,/api/version,200,9
Ollama,/api/tags,200,289
Ollama,/api/pull,200,256
Ollama,/api/create,200,33
Ollama,/api/copy,200,80
Ollama,/api/push,200,208
Ollama,/api/chat,200,220
Ollama,/api/show,200,36
Ollama,/api/generate,401,4
Ollama,/api/chat,404,86
Ollama,/api/generate,400,14
Ollama,/api/generate,500,2
Ollama,/api/chat,500,2
Ollama,/api/chat,400,17
Ollama,/api/delete,404,53
Ollama,/api/copy,404,22
Ollama,/api/show,404,20
Ollama,/api/tags,500,3
Ollama,/api/tags,400,13
Ollama,/api/embed,200,10
Ollama,/api/pull,400,14
Ollama,/api/push,400,11
Ollama,/api/tags,401,1
Ollama,/api/delete,400,9
Ollama,/api/embed,404,9
Ollama,/api/tags,404,3
Ollama,/api/copy,500,5
Ollama,/api/running,404,6
Ollama,/api/copy,400,11
Ollama,/api/show,400,7
Text Generate WebUI,/v1/chat/completions,403,72
Text Generate WebUI,/v1/internal/logits,403,23
Text Generate WebUI,/v1/completions,403,24
Text Generate WebUI,/v1/internal/model/list,404,37
Text Generate WebUI,/v1/chat/completions,404,48
Text Generate WebUI,/v1/completions,404,16
Text Generate WebUI,/v1/internal/logits,404,16
Text Generate WebUI,/v1/completions,400,2
Text Generate WebUI,/v1/chat/completions,400,6
Text Generate WebUI,/v1/completions,502,1
Text Generate WebUI,/v1/chat/completions,502,3
Text Generate WebUI,/v1/internal/logits,400,2
Text Generate WebUI,/v1/completions,405,2
Text Generate WebUI,/v1/chat/completions,405,6
Text Generate WebUI,/v1/internal/model/list,400,2
Text Generate WebUI,/v1/internal/logits,502,1
Text Generate WebUI,/v1/internal/model/list,502,1
Text Generate WebUI,/v1/internal/logits,405,2
Text Generate WebUI,/v1/internal/model/list,200,2
Ollama,/api/version,400,2
Ollama,/api/create,400,6
Ollama,/api/embed,400,3
Ollama,/api/running,400,3
Ollama,/api/ps,400,2
Ollama,/api/generate,Error,541
Ollama,/api/pull,Error,577
