Framework,API Endpoint,Model Information Disclosure,Hardware and System Configuration Disclosure,Unauthorized Access and Resource Abuse,Vulnerabilities and Reverse Engineering,Remote Code Execution,Sensitive Content Generation,
ComfyUI,embeddings,Yes,,Yes,Yes,,,④⑤
ComfyUI,extensions,,,,Yes,,,
ComfyUI,history,Yes,,Yes,Yes,,,
ComfyUI,object_info,Yes,,Yes,Yes,,,
ComfyUI,prompt,,,Yes,,Yes,Yes,
ComfyUI,queue,,,Yes,,, ,
ComfyUI,system_stats,,Yes,,,,,
GPT4All,v1_models,Yes,,,Yes,, ,
Jupyter Notebook,api,,Yes,Yes,Yes,Yes,,
Llamacpp,health,,Yes,Yes,,, ,
Llamacpp,v1_models,Yes,,,Yes,,,
Llamafile,v1_models,Yes,,,Yes,,,
Ollama,api_chat,,,Yes,,,Yes,
Ollama,api_copy,,,Yes,,, ,
Ollama,api_create,,,Yes,,, ,
Ollama,api_delete,,,Yes,,, ,
Ollama,api_generate,,,Yes,,,Yes,
Ollama,api_ps,,,Yes,,, ,
Ollama,api_pull,,,Yes,,, ,
Ollama,api_push,,,Yes,,, ,
Ollama,api_show,Yes,,,Yes,, ,
Ollama,api_tags,Yes,,,Yes,, ,
Ollama,api_version,Yes,,,Yes,, ,
Text Generation Web UI,v1_chat_completions,,,Yes,,Yes,Yes,
Text Generation Web UI,v1_files_file_id,,Yes,,,,,
Text Generation Web UI,v1_models,Yes,,,Yes,,,
